Kanda/Book,Sarga/Chapter,Shloka/Verse Number,English Translation
Bala Kanda,1,1,"The ascetic Valmiki inquired Naarada who engaged deeply in austerity and study of Vedas, best among the eloquent and eminent among sages (as follows:)."
Bala Kanda,1,2,"""Who really is that person in this present world, who is virtuous and vigorous, a conscientious one, one who is mindful of good deeds done to him, and also a speaker of truth and who is determined in his deed..."
Bala Kanda,1,3,"""Who is appropriate in disposition... who is interested in welfare of all beings... who is adept and also an able one... also uniquely pleasant to look at..."
Bala Kanda,1,4,"""Who is that self-composed one, who controlled his ire, who is brilliant, non-jealous and whom do even the gods fear, when provoked to war..."
Bala Kanda,1,5,"""All this I wish to listen from you, oh! Great Sage, you are competent to know this kind of man, and indeed my inquisitiveness is immense..."" Thus Valmiki enquired with Narada."
Bala Kanda,1,7,"""Oh! Sage Valmiki, the merits which you have extolled are many, and unattainable. I, after having known from Brahma of such a man with all these merits, will speak on...Let it be heard."" Thus Narada started to say."
Bala Kanda,1,8,"""One emerged from Ikshvaku dynasty, known to people as Rama by name. He is with a controlled self, highly valorous, resplendent, steadfast and a controller of (vice and vile... or) his own senses."
Bala Kanda,1,9,"""He is a wise one, moralist, eloquent, glorious, and a destroyer of enemies. His arms are lengthy, with three lines in the neck [indicative of good fortune], and cheekbones high..."
Bala Kanda,1,10,"""He is lion-chested, with concealed collarbones, knee-length are his arms, and his is a long bow, an enemy-subjugator, and his emperor's countenance is with a crowning-head and an ample forehead, and his gait is majestic like that of a lion..."
Bala Kanda,1,11,"""He is built proportionately physically, with limbs poised symmetrically, sinew-chested, wide-eyed, complexioned charmingly... he is a prosperous one with all the auspicious features ..."
Bala Kanda,1,12,"""He is the knower of rectitude, bidden by the truth, also his concern is in the welfare of subjects, proficient in prudence, clean in his conduct, self-controlled and an attentive one..."
Bala Kanda,1,13,"""He equals Lord Vishnu, the Lord of all creatures, Sustainer of the Universe, together with Sri Lakshmi (shriimaan = lakShmiivaan), Eliminator of enemies, Protector of the world of living creatures and Guardian of probity..."
Bala Kanda,1,14,"""He is the preserver of his own righteousness and also a champion for adherent's welfare in the same righteousness, and he is a scholar in the essence of Veda-s and their ancillaries, too. He is an expert in dhanur Veda, the Art of Archery..."
Bala Kanda,1,15,"""He is the knower of the meaning and essence of all the scriptures, excellent at memory, a brilliant one, and dear to all the worlds, gentle, level-headed and clear-headed in discriminating and distinguishing..."
Bala Kanda,1,16,"""Like an ocean that is reached by rivers, that reverential one too is always accessible and reachable by clean-minded ones, and he treats all equally, and ever a feast to eye..."
Bala Kanda,1,17,"""He who betters the happiness of his mother Kausalya is an embodiment of all noble merits, and in profundity he is like an unfathomable ocean, and by fortitude he is unalterable like the kingly Himalayan mountain..."
Bala Kanda,1,19,"""In valour Rama is comparable to Vishnu, and in his looks he is attractive like the moon, he equals the earth in his forgiveness, but he is matchable to world ending fire in his wrath... and in benevolence he is identical to Kubera, God of Wealth, and in his candour he is like Dharma itself, the Truth personified, with none to rival him... [1-1-18, 19a]"
Bala Kanda,1,20,"""Rama, being the possessor of suchlike merits, whose truthfulness is his courage, embodied with best of qualities, ever involved in the welfare of people, being the dear and eldest son of the King, King Dasharatha affectionately intended to endow such a Rama with crown prince-hood for people's welfare...[1-1-29b, 20, 21a]"
Bala Kanda,1,21,"""Then seeing the arrangements for the anointment of Rama as crown-prince, Kaikeyi, the dear wife and a queen of Dasaratha, solicited boons that were once accorded to her by Dasharatha, for the banishment of Rama and anointment of Bharata as boons. [1-1-21b 22]"
Bala Kanda,1,23,"""Bound by his true plighted word and by the noose of righteousness that king Dasharatha exiled his dear son Rama to forests."
Bala Kanda,1,24,"""That warrior Rama repaired to forest for pleasing Kaikeyi, and as directed by his father, and to follow his father's word of honour."
Bala Kanda,1,24,"""While that Rama was going on exile, Lakshmana, endowed with humbleness, and augmentor of his mother Sumitra's joy, and an endearing and dear brother to Rama, followed Rama out of affection, showing brotherly fraternity.[1-1-25, 26a]"
Bala Kanda,1,25,"""Even Seetha, daughter-in-law of Dasaratha, and Rama's beloved wife equalling to Rama's life, ever well disposed, born in the family of Janaka and one as though fashioned by a Divine marvel, endowed with all good characteristics and the best among women, followed Rama to forest, like Rohini following the Moon... [1-1-26b, 27, 28a]"
Bala Kanda,1,26,"""The citizens of Ayodhya and his father Dasaratha followed virtuous Rama for a distance when he started on his exile. Later Rama reached the tribal chief named Guha, who liked Rama, on the bank of River Ganga in a town called Sringaberapura. Together with Guha, Lakshmana and Seetha, he left off the charioteer. [1-1-28b, 29, 30a]"
